frame_num,time [s],cx [mm],cy [mm]
0,0.0,33.0,44.57142857142857
1,0.004166666666666667,33.0,44.57142857142857
2,0.008333333333333333,33.0,47.857142857142854
3,0.0125,33.0,47.857142857142854
4,0.016666666666666666,33.0,52.42857142857142
5,0.020833333333333332,33.0,53.0
6,0.025,33.0,52.57142857142857
7,0.029166666666666667,33.0,51.71428571428571
8,0.03333333333333333,33.0,48.42857142857142
9,0.0375,33.0,47.285714285714285
10,0.041666666666666664,33.0,45.42857142857142
11,0.04583333333333333,33.0,45.71428571428571
12,0.05,33.0,45.71428571428571
13,0.05416666666666667,33.0,49.42857142857142
14,0.058333333333333334,33.0,49.42857142857142
15,0.0625,33.0,52.42857142857142
16,0.06666666666666667,33.0,52.42857142857142
17,0.07083333333333333,33.0,51.0
18,0.075,33.0,51.0
19,0.07916666666666666,33.14285714285714,47.285714285714285
20,0.08333333333333333,33.0,46.57142857142857
21,0.0875,33.0,46.0
22,0.09166666666666666,33.0,46.0
23,0.09583333333333334,33.0,48.71428571428571
24,0.1,33.0,48.71428571428571
25,0.10416666666666667,32.857142857142854,51.57142857142857
26,0.10833333333333334,33.0,51.71428571428571
27,0.1125,33.0,51.14285714285714
28,0.11666666666666667,33.0,50.42857142857142
29,0.12083333333333333,33.0,48.0
30,0.125,33.0,47.285714285714285
31,0.12916666666666668,33.0,46.42857142857142
32,0.13333333333333333,33.0,46.57142857142857
33,0.1375,33.0,48.14285714285714
34,0.14166666666666666,33.14285714285714,49.0
35,0.14583333333333334,33.0,50.857142857142854
36,0.15,32.857142857142854,51.42857142857142
37,0.15416666666666667,32.857142857142854,51.42857142857142
38,0.15833333333333333,33.0,50.0
39,0.1625,33.0,50.0
40,0.16666666666666666,33.0,47.42857142857142
41,0.17083333333333334,33.0,47.42857142857142
42,0.175,33.0,47.0
43,0.17916666666666667,33.0,47.42857142857142
44,0.18333333333333332,33.0,49.14285714285714
45,0.1875,33.0,49.857142857142854
46,0.19166666666666668,33.0,50.857142857142854
47,0.19583333333333333,33.0,50.857142857142854
48,0.2,33.0,50.857142857142854
49,0.20416666666666666,33.0,48.857142857142854
50,0.20833333333333334,33.0,48.857142857142854
51,0.2125,33.0,47.14285714285714
52,0.21666666666666667,33.0,47.14285714285714
53,0.22083333333333333,33.0,47.857142857142854
54,0.225,33.0,48.857142857142854
55,0.22916666666666666,33.0,50.0
56,0.23333333333333334,33.0,50.57142857142857
57,0.2375,33.0,50.57142857142857
58,0.24166666666666667,33.0,50.14285714285714
59,0.24583333333333332,33.0,49.285714285714285
60,0.25,33.0,49.285714285714285
61,0.25416666666666665,33.0,47.57142857142857
62,0.25833333333333336,33.0,47.57142857142857
63,0.2625,33.14285714285714,47.71428571428571
64,0.26666666666666666,33.0,48.14285714285714
65,0.2708333333333333,33.0,49.42857142857142
66,0.275,33.0,49.857142857142854
67,0.2791666666666667,33.0,50.285714285714285
68,0.2833333333333333,32.857142857142854,50.285714285714285
69,0.2875,33.0,49.42857142857142
70,0.2916666666666667,33.0,48.857142857142854
71,0.29583333333333334,33.0,47.857142857142854
72,0.3,33.0,47.57142857142857
73,0.30416666666666664,33.0,47.57142857142857
